x_post_id,created_at,lang,raw_text
2052060431494345200,2026-05-06T16:18:26.000Z,en,MMDA ALERT: Stalled dump truck due to mechanical problem at C5 WB Bonny Serrano tunnel as of 11:16 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2052056992550953330,2026-05-06T16:04:47.000Z,en,plus i got stopped by an mmda last night because i made a wrong turn. sorry po. https://t.co/xGrQ3w4YPw
2052044425241772344,2026-05-06T15:14:50.000Z,en,MMDA ALERT: Stalled truck due to flat tire at RMB Santol EB as of 10:41 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2052037276734259481,2026-05-06T14:46:26.000Z,en,"The fire that hit the sanitary landfill in Navotas City is now around 80% contained, the Metropolitan Manila Development Authority (MMDA) said Wednesday.

https://t.co/ufwuY3YdAP"
2052032849780629800,2026-05-06T14:28:50.000Z,en,@MMDA What about po the 7-Day Rule: The invoice acts as temporary proof of registration for 7 days.
2052019414095262024,2026-05-06T13:35:27.000Z,en,@katedado May stalled vehicle po sa flyover Northbound. #mmda
2052017997955625110,2026-05-06T13:29:50.000Z,en,MMDA ALERT: Road crash incident at Julia Vargas EB involving motorcycle and SUV as of 8:35 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2052015731647406244,2026-05-06T13:20:49.000Z,en,"MMDA Public Affairs Staff-Public Information Office is accepting applications for a WRITER.

Interested applicants may submit their personal data sheet (PDS), Transcript of Records, and application letter to paspiohiring@gmail.com until MAY 15, 2026.

Use the job title as the https://t.co/bbj0S5znJ9"
2052013687322374233,2026-05-06T13:12:42.000Z,en,"MMDA chief and concurrent Metro Manila DRRMC head Don Artes said the fire at the Navotas Sanitary Landfill is around 80 percent contained, and efforts to completely put out the fire are ongoing. 

https://t.co/zSZvip3heZ"
2052013653688492293,2026-05-06T13:12:34.000Z,en,@MMDA what’s causing heavy traffic po C5 NB Katipunan area?
2051991363978465556,2026-05-06T11:43:59.000Z,en,MMDA ALERT: Stalled truck due to mechanical problem at C5 Katipunan Ave. before B. Serrano SB as of 6:35 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2051980845268058467,2026-05-06T11:02:12.000Z,en,MMDA ALERT: Stalled wing van due to mechanical problem at C5 Katipunan Ave. Ateneo Gate 2.5 NB as of 5:57 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2051979103679705443,2026-05-06T10:55:16.000Z,en,"@Vincent2112_ @beachygirlplus Not only is he underage, he needs at least one term in a national position before presidency (example:  MMDA Chairperson; DILG secretary; Senator) as preparation for presidency.  From Mayor to President is a quantum leap."
2051963297130491962,2026-05-06T09:52:28.000Z,en,MMDA ALERT: Road crash incident at EDSA Arayat Cubao SB involving car and taxi as of 5:24 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2051931751564624229,2026-05-06T07:47:07.000Z,en,"The Metro Manila Disaster Risk Reduction and Management Council (MMDRRMC) convened today to provide a status update on the Navotas Sanitary Landfill fire incident, reporting that the fire is now 79.6% contained.

Read more: https://t.co/c6dEMMNjbX #mmda #mmdaatyourservice https://t.co/BttjDSl5OE"
2051930017639059842,2026-05-06T07:40:13.000Z,en,"The fire that hit the sanitary landfill in Navotas City is now around 80% contained, the Metropolitan Manila Development Authority (MMDA) said on Wednesday.

READ: https://t.co/34EqErGUCf https://t.co/cOyoOtFS0P"
2051924501349487071,2026-05-06T07:18:18.000Z,en,MMDA ALERT: Road crash incident at Ortigas Ave. La Salle Gate 1 EB involving motorcycle and taxi as of 2:17 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2051921222318063846,2026-05-06T07:05:16.000Z,en,MMDA ALERT: Road crash incident at G. Araneta Ave. Aurora Blvd. NB involving closed van and taxi as of 2:16 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2051919459791847828,2026-05-06T06:58:16.000Z,en,"@MMDA Taken May 6, 2026, ~12nn.

Illegal parking on both sides of the P. Tuazon Mabuhay Lane. https://t.co/IowflvGenz"
2051912435251159425,2026-05-06T06:30:21.000Z,en,"@RubiLiciousMe [Admin 18]
Good day,
Thank you for reaching out to the MMDA and for sharing your concerns regarding the request to reinstate the traffic signal at the Banawe Avenue–Quezon Avenue intersection. We appreciate you bringing this matter to our attention.

In response, the TEC"
2051911748840554808,2026-05-06T06:27:38.000Z,en,"The fire that hit the sanitary landfill in Navotas City is now around 80% contained, the Metropolitan Manila Development Authority (MMDA) said Wednesday.

Read more:
https://t.co/34EqErGUCf"
2051906846525698213,2026-05-06T06:08:09.000Z,en,"MMDA Public Affairs Staff-Public Information Office is accepting applications for a WRITER.

Interested applicants may submit their personal data sheet (PDS), Transcript of Records, and application letter to paspiohiring@gmail.com until MAY 15, 2026.

Use the job title as the https://t.co/d4pkrFUr3b"
2051901892196962584,2026-05-06T05:48:28.000Z,en,MMDA ALERT: Stalled multicab due to mechanical trouble at EDSA Timog NB as of 1:45 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
2051892672106021303,2026-05-06T05:11:50.000Z,en,MMDA ALERT: Stalled truck due to mechanical trouble at EDSA Roxas flyover SB as of 12:57 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda
