Timestamp,Node,Speed,Flow,free_flow_speed,confidence,road_closure
2026-05-31T19:10:00+00:00,seg_01,55.95,0.9326,60.0,1.0,False
2026-05-31T19:10:00+00:00,seg_02,51.5,0.9364,55.0,1.0,False
2026-05-31T19:10:00+00:00,seg_03,48.68,0.9735,50.0,1.0,False
2026-05-31T19:10:00+00:00,seg_04,43.36,0.9635,45.0,1.0,False
2026-05-31T19:10:00+00:00,seg_05,40.13,0.8918,45.0,1.0,False
2026-05-31T19:15:00+00:00,seg_01,54.45,0.9076,60.0,1.0,False
2026-05-31T19:15:00+00:00,seg_02,51.12,0.9295,55.0,1.0,False
2026-05-31T19:15:00+00:00,seg_03,43.5,0.87,50.0,1.0,False
2026-05-31T19:15:00+00:00,seg_04,40.42,0.8982,45.0,1.0,False
2026-05-31T19:15:00+00:00,seg_05,43.76,0.9724,45.0,1.0,False
2026-05-31T19:20:00+00:00,seg_01,55.84,0.9307,60.0,1.0,False
2026-05-31T19:20:00+00:00,seg_02,57.63,1.0,55.0,1.0,False
2026-05-31T19:20:00+00:00,seg_03,47.51,0.9502,50.0,1.0,False
2026-05-31T19:20:00+00:00,seg_04,41.36,0.9191,45.0,1.0,False
2026-05-31T19:20:00+00:00,seg_05,41.08,0.9128,45.0,1.0,False
2026-05-31T19:25:00+00:00,seg_01,58.19,0.9699,60.0,1.0,False
2026-05-31T19:25:00+00:00,seg_02,53.32,0.9694,55.0,1.0,False
2026-05-31T19:25:00+00:00,seg_03,51.7,1.0,50.0,1.0,False
2026-05-31T19:25:00+00:00,seg_04,44.56,0.9902,45.0,1.0,False
2026-05-31T19:25:00+00:00,seg_05,44.11,0.9803,45.0,1.0,False
2026-05-31T19:30:00+00:00,seg_01,55.46,0.9244,60.0,1.0,False
2026-05-31T19:30:00+00:00,seg_02,54.39,0.989,55.0,1.0,False
2026-05-31T19:30:00+00:00,seg_03,47.6,0.9521,50.0,1.0,False
2026-05-31T19:30:00+00:00,seg_04,43.57,0.9683,45.0,1.0,False
2026-05-31T19:30:00+00:00,seg_05,41.78,0.9284,45.0,1.0,False
2026-05-31T19:35:00+00:00,seg_01,57.74,0.9623,60.0,1.0,False
2026-05-31T19:35:00+00:00,seg_02,53.55,0.9737,55.0,1.0,False
2026-05-31T19:35:00+00:00,seg_03,47.31,0.9463,50.0,1.0,False
2026-05-31T19:35:00+00:00,seg_04,42.16,0.9369,45.0,1.0,False
2026-05-31T19:35:00+00:00,seg_05,46.06,1.0,45.0,1.0,False
2026-05-31T19:40:00+00:00,seg_01,59.62,0.9936,60.0,1.0,False
2026-05-31T19:40:00+00:00,seg_02,50.97,0.9268,55.0,1.0,False
2026-05-31T19:40:00+00:00,seg_03,48.24,0.9647,50.0,1.0,False
2026-05-31T19:40:00+00:00,seg_04,43.91,0.9758,45.0,1.0,False
2026-05-31T19:40:00+00:00,seg_05,41.06,0.9124,45.0,1.0,False
2026-05-31T19:45:00+00:00,seg_01,53.23,0.8871,60.0,1.0,False
2026-05-31T19:45:00+00:00,seg_02,58.19,1.0,55.0,1.0,False
2026-05-31T19:45:00+00:00,seg_03,47.55,0.9511,50.0,1.0,False
2026-05-31T19:45:00+00:00,seg_04,44.68,0.9928,45.0,1.0,False
2026-05-31T19:45:00+00:00,seg_05,41.57,0.9238,45.0,1.0,False
2026-05-31T19:50:00+00:00,seg_01,52.29,0.8715,60.0,1.0,False
2026-05-31T19:50:00+00:00,seg_02,54.43,0.9896,55.0,1.0,False
2026-05-31T19:50:00+00:00,seg_03,49.33,0.9867,50.0,1.0,False
2026-05-31T19:50:00+00:00,seg_04,45.1,1.0,45.0,1.0,False
2026-05-31T19:50:00+00:00,seg_05,41.62,0.9249,45.0,1.0,False
2026-05-31T19:55:00+00:00,seg_01,53.76,0.896,60.0,1.0,False
2026-05-31T19:55:00+00:00,seg_02,52.6,0.9564,55.0,1.0,False
2026-05-31T19:55:00+00:00,seg_03,47.33,0.9467,50.0,1.0,False
2026-05-31T19:55:00+00:00,seg_04,41.55,0.9234,45.0,1.0,False
2026-05-31T19:55:00+00:00,seg_05,41.31,0.9179,45.0,1.0,False
2026-05-31T20:00:00+00:00,seg_01,58.08,0.968,60.0,1.0,False
2026-05-31T20:00:00+00:00,seg_02,56.2,1.0,55.0,1.0,False
2026-05-31T20:00:00+00:00,seg_03,47.6,0.9519,50.0,1.0,False
2026-05-31T20:00:00+00:00,seg_04,48.56,1.0,45.0,1.0,False
2026-05-31T20:00:00+00:00,seg_05,42.88,0.9528,45.0,1.0,False
2026-05-31T20:05:00+00:00,seg_01,56.13,0.9354,60.0,1.0,False
2026-05-31T20:05:00+00:00,seg_02,51.12,0.9295,55.0,1.0,False
2026-05-31T20:05:00+00:00,seg_03,52.22,1.0,50.0,1.0,False
2026-05-31T20:05:00+00:00,seg_04,47.48,1.0,45.0,1.0,False
2026-05-31T20:05:00+00:00,seg_05,45.0,1.0,45.0,1.0,False
2026-05-31T20:10:00+00:00,seg_01,59.22,0.9869,60.0,1.0,False
2026-05-31T20:10:00+00:00,seg_02,50.72,0.9221,55.0,1.0,False
2026-05-31T20:10:00+00:00,seg_03,53.54,1.0,50.0,1.0,False
2026-05-31T20:10:00+00:00,seg_04,45.65,1.0,45.0,1.0,False
2026-05-31T20:10:00+00:00,seg_05,40.37,0.8972,45.0,1.0,False
2026-05-31T20:15:00+00:00,seg_01,56.33,0.9389,60.0,1.0,False
2026-05-31T20:15:00+00:00,seg_02,54.18,0.9851,55.0,1.0,False
2026-05-31T20:15:00+00:00,seg_03,51.43,1.0,50.0,1.0,False
2026-05-31T20:15:00+00:00,seg_04,46.13,1.0,45.0,1.0,False
2026-05-31T20:15:00+00:00,seg_05,41.58,0.9239,45.0,1.0,False
2026-05-31T20:20:00+00:00,seg_01,59.41,0.9902,60.0,1.0,False
2026-05-31T20:20:00+00:00,seg_02,54.7,0.9945,55.0,1.0,False
2026-05-31T20:20:00+00:00,seg_03,48.56,0.9711,50.0,1.0,False
2026-05-31T20:20:00+00:00,seg_04,40.99,0.9109,45.0,1.0,False
2026-05-31T20:20:00+00:00,seg_05,43.74,0.9721,45.0,1.0,False
2026-05-31T20:25:00+00:00,seg_01,55.3,0.9217,60.0,1.0,False
